_id,_type,topConceptOf,isPartOf,prefLabel,notation,definition,scopeNote,broader,relation,relevantDataType,relevantCodeList,relevantRiepr,relevantUnit,isVerplicht,isMeervoudig
conceptscheme:installatie_eigenschappen,skos:ConceptScheme,,conceptscheme:systeem_eigenschappen,Installatie eigenschappen,,Een typering van verschillende eigenschappen voor installaties.,,,,,,,,,
riepr-installatie-eigenschappen:geinstalleerd_vermogen,skos:Concept,conceptscheme:installatie_eigenschappen,,Geinstalleerd vermogen,GEINSTALLEERD_VERMOGEN,Het ge�nstalleerde vermogen van een Stookinstallatie,,,,http://www.w3.org/2001/XMLSchema#decimal,,riepr-installatie-type:stookinstallatie,http://qudt.org/vocab/unit/MegaW,true,
riepr-installatie-eigenschappen:verwijderingsrendement,skos:Concept,conceptscheme:installatie_eigenschappen,,Verwijderingsrendement,VERWIJDERINGSRENDEMENT,Samengestelde eigenschap voor verwijderingsrendement (stof en percentage).,,,,,,,,,true
riepr-installatie-eigenschappen:verwijderingsrendement_stof,skos:Concept,conceptscheme:installatie_eigenschappen,,Stof,VERWIJDERINGSRENDEMENT_STOF,De verontreinigende stoffen en broeikasgassen die door de luchtzuivering verwijderd worden,,riepr-installatie-eigenschappen:verwijderingsrendement,riepr:parameter,,conceptscheme-alg:chemische_stof,riepr-installatie-type:luchtzuiveringsinstallatie,,,
riepr-installatie-eigenschappen:verwijderingsrendement_percentage,skos:Concept,conceptscheme:installatie_eigenschappen,,Rendement,VERWIJDERINGSRENDEMENT_PERCENTAGE,Het % waarmee de verontreinigende stof door de luchtzuivering wordt verwijderd,,riepr-installatie-eigenschappen:verwijderingsrendement,rdfs:value,http://www.w3.org/2001/XMLSchema#decimal,,,http://qudt.org/vocab/unit/PERCENT,,
riepr-installatie-eigenschappen:luchtzuiverings_techniek,skos:Concept,conceptscheme:installatie_eigenschappen,,Luchtzuiveringstechniek,LUCHTZUIVERINGS_TECHNIEK,Een beschrijving van de toegepaste luchtzuiveringstechniek,,,,,,,,,
riepr-installatie-eigenschappen:geinstalleerde_opslagcapaciteit,skos:Concept,conceptscheme:installatie_eigenschappen,,Geinstalleerde opslagcapaciteit,GEINSTALLEERDE_OPSLAG_CAPACITEIT,"De geïnstalleerde opslagcapaciteit ",,,,,,riepr-installatie-type:opslag_overslag,,,
riepr-installatie-eigenschappen:geinstalleerde_productiecapaciteit,skos:Concept,conceptscheme:installatie_eigenschappen,,Geinstalleerde productiecapaciteit,GEINSTALLEERDE_PRODUCTIE_CAPACITEIT,De geïnstalleerde productiecapaciteit van een installatie,,,,,,conceptscheme:installatie_type,,,
riepr-installatie-eigenschappen:type_energie_productie,skos:Concept,conceptscheme:installatie_eigenschappen,,Type energieproductie,TYPE_ENERGIE_PRODUCTIE,Het type energie dat een stookinstallatie produceert,,,,,,riepr-installatie-type:stookinstallatie,,,
riepr-installatie-eigenschappen:waterzuiveringstechniek,skos:Concept,conceptscheme:installatie_eigenschappen,,Waterzuiveringstechniek,WATERZUIVERINGSTECHNIEK,Samengestelde eigenschap voor waterzuiveringstechniek.,,,,,,riepr-installatie-type:waterzuivering,,,true
riepr-installatie-eigenschappen:waterzuiveringstechniek_ingebruikvan,skos:Concept,conceptscheme:installatie_eigenschappen,,Techniek in gebruik van,WATERZUIVERINGSTECHNIEK_INGEBRUIKVAN,De datum van ingebruikname van de waterzuiveringstechniek.,,riepr-installatie-eigenschappen:waterzuiveringstechniek,riepr:inGebruikVan,http://www.w3.org/2001/XMLSchema#date,,,,true,
riepr-installatie-eigenschappen:waterzuiveringstechniek_techniek,skos:Concept,conceptscheme:installatie_eigenschappen,,Techniek,WATERZUIVERINGSTECHNIEK_TECHNIEK,De techniek gebruikt voor de zuivering van water,,riepr-installatie-eigenschappen:waterzuiveringstechniek,rdfs:value,,https://vito.be/codelijst/techniek,,,true,